Date,Open,High,Low,Close,Adj Close,Volume,jjj
2017/1/23,6701,6730,6683,6690,6172.564941,7764500,-1857
2017/1/24,6646,6673,6575,6579,6070.150879,9614000,12761
2017/1/25,6709,6739,6677,6706,6187.328125,7894200,-10536
2017/1/26,6791,6799,6746,6764,6240.841797,7030500,4712
2017/1/27,6769,6769,6677,6704,6185.481934,7387400,-14105
2017/1/30,6666,6713,6658,6705,6186.404785,4664800,12081
2017/1/31,6605,6637,6584,6584,6074.76416,6703300,-9164
2017/2/1,6490,6558,6432,6546,6039.703125,8028800,-13439
2017/2/2,6472,6499,6406,6430,5932.674805,8342600,-7947
2017/2/3,6450,6488,6405,6445,5946.515137,7038200,-7004
2017/2/6,6496,6527,6446,6493,5990.802246,6349600,2907
2017/2/7,6390,6410,6312,6346,5855.172363,10372200,231
2017/2/8,6358,6386,6324,6385,5891.155762,5395500,-14154
2017/2/9,6300,6325,6220,6255,5771.209961,11727100,6570
2017/2/10,6337,6456,6331,6446,5947.437988,9579300,11671
2017/2/13,6546,6546,6480,6491,5988.956055,6989400,-3793
2017/2/14,6529,6529,6445,6454,5954.817871,6693800,-6884
2017/2/15,6518,6518,6479,6491,5988.956055,4299200,-12933
2017/2/16,6491,6496,6410,6457,5957.586426,5247200,-3795
2017/2/17,6410,6413,6358,6400,5904.995117,5262900,-2120
2017/2/20,6450,6454,6386,6432,5934.520508,4340800,8186
2017/2/21,6450,6479,6439,6478,5976.962891,4099200,8337
2017/2/22,6519,6519,6462,6503,6000.029297,6015600,-4624
2017/2/23,6480,6502,6453,6498,5995.415527,3911500,4560
2017/2/24,6438,6470,6431,6448,5949.282715,4338500,-235
2017/2/27,6400,6439,6358,6406,5910.53125,5912400,4474
2017/2/28,6449,6495,6365,6365,5872.702148,12848500,12187
2017/3/1,6420,6480,6400,6466,5965.890625,8577200,6071
2017/3/2,6541,6550,6470,6470,5969.581055,7073800,12422
2017/3/3,6481,6497,6427,6455,5955.741211,6112100,9833
2017/3/6,6438,6454,6420,6444,5945.592285,3596700,-10778
2017/3/7,6425,6439,6414,6430,5932.674805,4256900,6022
2017/3/8,6399,6402,6360,6370,5877.31543,5242600,14128
2017/3/9,6411,6439,6397,6434,5936.365234,5010200,-12721
2017/3/10,6498,6525,6480,6520,6015.713867,8240000,7367
2017/3/13,6490,6530,6467,6530,6024.94043,4737800,-11319
2017/3/14,6500,6508,6451,6454,5954.817871,5582300,-9486
2017/3/15,6439,6478,6423,6475,5974.194336,3763700,4124
2017/3/16,6420,6458,6408,6453,5953.895508,5856600,-7017
2017/3/17,6405,6410,6373,6377,5883.773926,7951600,-13967
2017/3/21,6360,6389,6329,6373,5880.083496,5472200,-5377
2017/3/22,6222,6248,6161,6161,5684.480469,11072700,-2317
2017/3/23,6132,6175,6100,6160,5683.557617,8336500,-15342
2017/3/24,6163,6232,6145,6229,5747.221191,6222600,-13018
2017/3/27,6150,6180,6136,6158,5681.712891,5827200,-14707
2017/3/28,6202,6229,6193,6218,5737.072266,6873600,-7241
2017/3/29,6177,6187,6117,6124,5752.100098,7349000,-11007
2017/3/30,6101,6148,6100,6111,5739.890137,4379800,7658
2017/3/31,6125,6154,6042,6042,5675.07959,7722400,-14936
2017/4/3,6087,6102,6026,6046,5678.837402,5082500,15615
2017/4/4,6001,6008,5955,5984,5620.602051,7259400,15234
2017/4/5,5960,5987,5882,5909,5550.156738,7635900,13668
2017/4/6,5850,5878,5804,5810,5457.168945,9050000,-14528
2017/4/7,5841,5893,5813,5832,5477.833008,8713800,-11093
2017/4/10,5900,5933,5881,5896,5537.946289,5626400,15028
2017/4/11,5882,5910,5840,5910,5551.096191,4898800,12875
2017/4/12,5835,5836,5781,5798,5445.897949,7419600,-4973
2017/4/13,5733,5754,5672,5731,5382.966309,7925700,12859
2017/4/14,5719,5808,5670,5798,5445.897949,7924600,-6895
2017/4/17,5747,5768,5708,5759,5409.266113,4633500,-15407
2017/4/18,5800,5821,5753,5757,5407.387695,6033600,7678
2017/4/19,5700,5729,5687,5695,5349.152344,7795100,-14645
2017/4/20,5715,5796,5704,5754,5404.569824,6159800,2653
2017/4/21,5820,5880,5812,5855,5499.436523,7722600,6978
2017/4/24,5916,5928,5864,5887,5529.493164,5533900,-14292
2017/4/25,5890,6004,5887,6000,5635.630859,7169800,-6267
2017/4/26,6091,6154,6066,6154,5780.278809,8289400,858
2017/4/27,6120,6135,6095,6117,5745.525879,6931200,-9073
2017/4/28,6112,6129,6020,6035,5668.504883,6765800,-3161
2017/5/1,6024,6062,6006,6042,5675.07959,3793600,9968
2017/5/2,6057,6143,6048,6143,5769.946777,5943200,9121
2017/5/8,6190,6238,6174,6235,5856.359375,9487200,-5895
2017/5/9,6235,6242,6122,6135,5762.432617,7563000,-6901
2017/5/10,6162,6171,6081,6081,5711.711426,7823700,7265
2017/5/11,6113,6124,5975,6123,5751.161133,13511900,15332
2017/5/12,6090,6094,6020,6047,5679.776855,8216600,2575
2017/5/15,5990,6025,5983,6009,5644.083984,5925200,10693
2017/5/16,6060,6123,6054,6093,5722.98291,6449300,-123
2017/5/17,6030,6044,5991,6034,5667.565918,7185300,1245
2017/5/18,5934,5956,5923,5930,5569.881836,6959700,7572
2017/5/19,5955,5984,5927,5965,5602.755859,6348300,-952
2017/5/22,5985,6023,5962,5997,5632.812988,4445800,15813
2017/5/23,5979,6011,5961,6000,5635.630859,4217200,-8352
2017/5/24,6051,6051,5987,6001,5636.570313,4582400,-4596
2017/5/25,5967,6012,5955,5985,5621.541504,4717200,-8225
2017/5/26,5985,5997,5940,5941,5580.213867,5672400,1940
2017/5/29,5945,5990,5944,5970,5607.452148,3240900,-14722
2017/5/30,5970,5987,5949,5981,5617.785156,3258600,11932
2017/5/31,5962,5977,5925,5932,5571.760254,5703000,5908
2017/6/1,5935,6003,5933,5989,5625.29834,4999500,-15565
2017/6/2,6013,6097,6010,6092,5722.043945,8205700,9731
2017/6/5,6001,6005,5964,5968,5605.574219,7031400,-7427
2017/6/6,5964,5974,5907,5910,5551.096191,6170500,10767
2017/6/7,5900,5917,5874,5902,5543.58252,5571700,-5473
2017/6/8,5893,5898,5800,5806,5453.412598,9034100,-10408
2017/6/9,5800,5862,5793,5838,5483.46875,8518900,8578
2017/6/12,5829,5901,5822,5880,5522.917969,5744200,4527
2017/6/13,5870,5903,5839,5874,5517.282715,5233800,-11939
2017/6/14,5899,5900,5858,5859,5503.193848,4020600,14306
2017/6/15,5812,5838,5792,5794,5442.140625,6404500,14761
2017/6/16,5829,5839,5790,5794,5442.140625,12559500,-13511
2017/6/19,5785,5807,5768,5787,5435.565918,5466200,-980
2017/6/20,5840,5858,5809,5809,5456.229492,7112100,14244
2017/6/21,5800,5853,5790,5840,5485.347168,7470100,-12710
