Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,6350.000000,6362.000000,6256.000000,6256.000000,5346.829590,8837200
2014-01-24,6168.000000,6198.000000,6150.000000,6170.000000,5273.326660,14605000
2014-01-27,6047.000000,6077.000000,6032.000000,6039.000000,5161.364746,13821100
2014-01-28,6035.000000,6063.000000,6007.000000,6018.000000,5143.416992,10986000
2014-01-29,6094.000000,6146.000000,6055.000000,6136.000000,5244.268555,7484900
2014-01-30,6008.000000,6053.000000,5978.000000,5998.000000,5126.323730,14863300
2014-01-31,6058.000000,6059.000000,5886.000000,5922.000000,5061.368652,10850200
2014-02-03,5880.000000,5919.000000,5822.000000,5831.000000,4983.593262,8776900
2014-02-04,5531.000000,5640.000000,5500.000000,5500.000000,4700.696777,18089700
2014-02-05,5800.000000,5880.000000,5708.000000,5830.000000,4982.738770,20714900
2014-02-06,5900.000000,5903.000000,5778.000000,5785.000000,4944.278809,9712600
2014-02-07,5890.000000,5903.000000,5800.000000,5900.000000,5042.565918,7637500
2014-02-10,5982.000000,5995.000000,5942.000000,5994.000000,5122.905273,7096200
2014-02-12,6019.000000,6038.000000,5999.000000,6020.000000,5145.126953,8352500
2014-02-13,6000.000000,6006.000000,5885.000000,5891.000000,5034.873535,7530000
2014-02-14,5891.000000,5954.000000,5750.000000,5813.000000,4968.208496,8841500
2014-02-17,5818.000000,5853.000000,5726.000000,5793.000000,4951.116211,7917100
2014-02-18,5800.000000,5945.000000,5793.000000,5945.000000,5081.025879,9724500
2014-02-19,5930.000000,5943.000000,5876.000000,5910.000000,5051.112305,5843300
2014-02-20,5907.000000,5949.000000,5830.000000,5860.000000,5008.378906,8508700
2014-02-21,5941.000000,5994.000000,5913.000000,5982.000000,5112.648438,7788800
2014-02-24,5986.000000,6045.000000,5867.000000,5924.000000,5063.078125,8645900
2014-02-25,5940.000000,6001.000000,5936.000000,5990.000000,5119.486328,6253800
2014-02-26,5930.000000,5949.000000,5906.000000,5917.000000,5057.095215,6305200
2014-02-27,5915.000000,5947.000000,5881.000000,5909.000000,5050.256836,4932200
2014-02-28,5886.000000,5894.000000,5801.000000,5839.000000,4990.431152,9703800
2014-03-03,5793.000000,5808.000000,5686.000000,5773.000000,4934.021973,6522900
2014-03-04,5730.000000,5848.000000,5723.000000,5811.000000,4966.499023,5339000
2014-03-05,5839.000000,5848.000000,5755.000000,5762.000000,4924.621582,9058900
2014-03-06,5829.000000,5888.000000,5806.000000,5869.000000,5016.070801,7414800
2014-03-07,5929.000000,5955.000000,5871.000000,5889.000000,5033.165039,6085400
2014-03-10,5840.000000,5880.000000,5782.000000,5821.000000,4975.046387,6904800
2014-03-11,5821.000000,5864.000000,5811.000000,5842.000000,4992.995117,4546000
2014-03-12,5780.000000,5786.000000,5713.000000,5728.000000,4895.562012,8301200
2014-03-13,5706.000000,5753.000000,5700.000000,5720.000000,4888.724609,5014700
2014-03-14,5601.000000,5619.000000,5546.000000,5551.000000,4744.285156,17149300
2014-03-17,5530.000000,5582.000000,5522.000000,5563.000000,4754.541016,5935700
2014-03-18,5630.000000,5631.000000,5550.000000,5550.000000,4743.430664,6129700
2014-03-19,5555.000000,5626.000000,5462.000000,5508.000000,4707.534180,9527800
2014-03-20,5570.000000,5587.000000,5415.000000,5425.000000,4636.596191,10500300
2014-03-24,5450.000000,5547.000000,5441.000000,5517.000000,4715.226563,9678800
2014-03-25,5461.000000,5599.000000,5427.000000,5560.000000,4751.977539,7574600
2014-03-26,5590.000000,5636.000000,5560.000000,5621.000000,4804.112305,7807800
2014-03-27,5660.000000,5757.000000,5580.000000,5731.000000,4986.843750,13397500
2014-03-28,5759.000000,5790.000000,5714.000000,5785.000000,5033.833008,8125900
2014-03-31,5856.000000,5858.000000,5785.000000,5826.000000,5069.508789,8128800
2014-04-01,5839.000000,5850.000000,5803.000000,5813.000000,5058.195801,6327100
2014-04-02,5850.000000,5906.000000,5845.000000,5847.000000,5087.782227,8845000
2014-04-03,5876.000000,5883.000000,5836.000000,5840.000000,5081.691406,5134900
2014-04-04,5840.000000,5850.000000,5784.000000,5792.000000,5039.923828,5284300
2014-04-07,5738.000000,5813.000000,5735.000000,5758.000000,5010.338379,5064600
2014-04-08,5728.000000,5735.000000,5612.000000,5623.000000,4892.867676,7593600
2014-04-09,5525.000000,5547.000000,5348.000000,5450.000000,4742.331543,18246300
2014-04-10,5488.000000,5497.000000,5305.000000,5321.000000,4630.081543,16240400
2014-04-11,5221.000000,5382.000000,5205.000000,5314.000000,4623.990234,14115300
2014-04-14,5344.000000,5510.000000,5330.000000,5410.000000,4707.525391,11963600
2014-04-15,5490.000000,5493.000000,5382.000000,5400.000000,4698.822754,8425500
2014-04-16,5470.000000,5523.000000,5450.000000,5523.000000,4805.853027,8335200
2014-04-17,5515.000000,5539.000000,5448.000000,5512.000000,4796.281250,8861400
2014-04-18,5535.000000,5577.000000,5532.000000,5564.000000,4841.528809,4625400
2014-04-21,5563.000000,5604.000000,5553.000000,5570.000000,4846.750000,4559400
2014-04-22,5580.000000,5612.000000,5557.000000,5558.000000,4836.307129,5163300
2014-04-23,5570.000000,5578.000000,5522.000000,5549.000000,4828.476563,7684600
2014-04-24,5539.000000,5552.000000,5440.000000,5469.000000,4758.864258,5823300
2014-04-25,5420.000000,5515.000000,5401.000000,5494.000000,4780.618164,5751600
2014-04-28,5420.000000,5485.000000,5420.000000,5473.000000,4762.344727,4350700
2014-04-30,5531.000000,5609.000000,5513.000000,5516.000000,4799.761719,8409300
2014-05-01,5577.000000,5639.000000,5571.000000,5639.000000,4906.790039,7653200
2014-05-02,5631.000000,5632.000000,5597.000000,5631.000000,4899.828613,4642600
2014-05-07,5560.000000,5584.000000,5511.000000,5511.000000,4795.411133,9557900
2014-05-08,5565.000000,5576.000000,5502.000000,5528.000000,4810.203125,5916100
2014-05-09,5460.000000,5584.000000,5417.000000,5561.000000,4838.918457,9115900
2014-05-12,5535.000000,5552.000000,5504.000000,5514.000000,4798.021484,5159400
2014-05-13,5574.000000,5650.000000,5565.000000,5650.000000,4916.362793,8621900
2014-05-14,5664.000000,5680.000000,5636.000000,5680.000000,4942.466797,6397800
2014-05-15,5630.000000,5635.000000,5553.000000,5635.000000,4903.310059,7230800
2014-05-16,5525.000000,5537.000000,5475.000000,5522.000000,4804.982422,7043000
2014-05-19,5522.000000,5542.000000,5456.000000,5459.000000,4750.162598,4699600
2014-05-20,5500.000000,5517.000000,5465.000000,5468.000000,4757.994629,4303400
2014-05-21,5431.000000,5435.000000,5376.000000,5420.000000,4716.227051,6205800
2014-05-22,5458.000000,5569.000000,5446.000000,5526.000000,4808.462402,6868800
2014-05-23,5565.000000,5604.000000,5555.000000,5557.000000,4835.437500,6387300
2014-05-26,5607.000000,5616.000000,5572.000000,5599.000000,4871.983887,3524500
2014-05-27,5599.000000,5648.000000,5580.000000,5585.000000,4859.801758,5743600
2014-05-28,5622.000000,5630.000000,5592.000000,5613.000000,4884.166504,4989000
